Summary
"The Patch Status (Detailed) report provides information on devices that have missing patches and on the severity of missing patches. It includes a summary report of the status of patches, failed patch installation attempts, and a list of patches per devices that can be filtered by age of the missing patches or by patches applied within a specified time period."



Company Name:,IFWORLD Inc. 
Report:,Patch Status (Detailed) 
Period:,24 Hours 
Start Date and Time:,2015-Dec-22 10:00 
All Devices, 
Created on:,2015-Dec-23 10:37 
Classification:,"Critical Updates, Security Updates, Service Packs, Update Rollups, Updates" 
Status:,"Aborted, Declined, Failed, In Progress, Installed, Installed With Errors, Needed Unapproved, Not Installed" 

Number of Devices by Classification

Device Class,Service Packs,Updates,Critical Updates,Update Rollups,Security Updates
Laptop - Windows,1,12,4,4,7,
Workstations - Windows,2,49,7,4,12,
Servers - Windows,0,0,0,1,1,


Number of Modified Patches by Classification

Device Name,Device Class,Newest Modified Patch,Critical Updates,Security Updates,Service Packs,Update Rollups,Updates
kiosk-5,Workstations - Windows,2015-Dec-22,0,0,0,0,2
RHONDASTAMPS-HR,Laptop - Windows,2015-Dec-22,0,0,1,0,2
lab1-PC,Workstations - Windows,2015-Dec-22,0,0,1,0,0
NURSESTN3-HCC,Workstations - Windows,2015-Dec-22,0,0,0,0,2
NURSESTN2-HCC,Workstations - Windows,2015-Dec-22,0,0,0,0,2
KITCHEN-390-PRO,Workstations - Windows,2015-Dec-22,1,0,0,0,2
RESCARE-CNA,Workstations - Windows,2015-Dec-23,0,1,0,0,1
DFERGUSON-HCC,Workstations - Windows,2015-Dec-22,0,0,0,0,2
horticulturenew,Workstations - Windows,2015-Dec-23,4,16,2,0,8
kiosk-7,Workstations - Windows,2015-Dec-22,0,0,0,0,2
KERRY8700,Workstations - Windows,2015-Dec-22,0,0,0,0,1
arthur-e5540,Laptop - Windows,2015-Dec-23,0,0,0,0,1
NURSESTN4-HCC,Workstations - Windows,2015-Dec-22,0,0,0,0,2
ao-dc1,Servers - Windows,2015-Dec-22,0,2,0,1,0
ArnoldClinic-3,Laptop - Windows,2015-Dec-22,15,55,0,1,14
Facility-PC,Workstations - Windows,2015-Dec-22,0,0,0,0,1
SCC-HOUSE1,Workstations - Windows,2015-Dec-22,0,0,0,0,2
dietary-hcc,Workstations - Windows,2015-Dec-22,0,0,0,0,2
LWILLEY-HCC,Workstations - Windows,2015-Dec-22,0,0,0,0,2
ACCTS-PAY-HCC,Workstations - Windows,2015-Dec-22,0,0,0,0,2
RESCARE-NURSE,Workstations - Windows,2015-Dec-22,0,0,0,0,2
CHUCKABEE,Workstations - Windows,2015-Dec-23,7,21,0,0,5
kiosk-2,Workstations - Windows,2015-Dec-22,0,0,0,0,2
kiosk-4,Workstations - Windows,2015-Dec-22,0,0,0,0,2
mburks-opt3020,Workstations - Windows,2015-Dec-22,0,0,0,0,2
sean5540,Laptop - Windows,2015-Dec-23,0,0,0,0,1
MSILVA-V3550,Laptop - Windows,2015-Dec-23,0,1,0,0,2
kiosk-8,Workstations - Windows,2015-Dec-22,0,0,0,0,2
pmwariri-hcc,Workstations - Windows,2015-Dec-22,0,0,0,0,2
LAB2-PC-NEW,Workstations - Windows,2015-Dec-23,0,1,0,0,0
ghodges-e5530,Laptop - Windows,2015-Dec-23,4,12,0,1,3
ACCTS-PAY,Workstations - Windows,2015-Dec-22,3,12,0,1,3
mp390-621,Workstations - Windows,2015-Dec-23,0,1,0,0,1
pporter-opt3010,Workstations - Windows,2015-Dec-23,4,12,0,1,3
Aquatic-Office,Workstations - Windows,2015-Dec-22,0,0,0,0,2
dellvenue-aj,Laptop - Windows,2015-Dec-23,1,5,0,2,2
ACCNTS-PAYABLE,Workstations - Windows,2015-Dec-22,0,0,0,0,2
dhenry-hcc,Workstations - Windows,2015-Dec-22,0,0,0,0,1
kiosk-6,Workstations - Windows,2015-Dec-22,0,0,0,0,2
CHOUSER-HCC,Workstations - Windows,2015-Dec-22,0,0,0,0,2
HCC-Development,Workstations - Windows,2015-Dec-22,0,1,0,0,2
adele-opt3020,Workstations - Windows,2015-Dec-23,6,29,0,1,5
bcochran-3010,Workstations - Windows,2015-Dec-22,0,1,0,0,0
Maintenance-Laptop,Laptop - Windows,2015-Dec-22,1,17,0,1,3
kiosk-1,Workstations - Windows,2015-Dec-22,0,0,0,0,2
rking-HCC,Workstations - Windows,2015-Dec-22,0,0,0,0,2
ProgramTech,Workstations - Windows,2015-Dec-22,0,0,0,0,2
Be-Ann-PC,Laptop - Windows,2015-Dec-22,0,0,0,0,1
gsosebee-win7,Workstations - Windows,2015-Dec-22,0,0,0,0,1
RESIDENT-SERV,Workstations - Windows,2015-Dec-22,0,0,0,0,2
oscarvostro,Workstations - Windows,2015-Dec-22,0,0,0,0,2
ALCLAPTOP,Laptop - Windows,2015-Dec-22,0,23,0,0,6
PROG-TRANS,Workstations - Windows,2015-Dec-22,0,0,0,0,2
jsheperd-3450,Laptop - Windows,2015-Dec-23,0,1,0,0,1
kiosk-3,Workstations - Windows,2015-Dec-22,0,0,0,0,2
SCURLEE2-HCC,Workstations - Windows,2015-Dec-22,0,0,0,0,2
cwright-e5530,Laptop - Windows,2015-Dec-22,0,0,0,0,2
TRANSPORTATION,Workstations - Windows,2015-Dec-22,0,0,0,0,2
ABEASLEY-HCC,Workstations - Windows,2015-Dec-22,4,12,0,1,4
AL-Office,Workstations - Windows,2015-Dec-22,0,0,0,0,2
CFO,Workstations - Windows,2015-Dec-22,0,0,0,0,2
CHALE-VOS220,Workstations - Windows,2015-Dec-22,0,0,0,0,2
PROG-DIRECTOR,Workstations - Windows,2015-Dec-22,0,0,0,0,2
NURSESTN1-HCC,Workstations - Windows,2015-Dec-22,0,0,0,0,2
btvtraining2,Workstations - Windows,2015-Dec-23,0,1,0,0,2

Patch Installation Status
Device Name,Device Class,Aborted,Declined,Failed,In Progress,Installed,Installed With Errors,Needed Unapproved,Not Installed
kiosk-5,Workstations - Windows,0,0,1,0,1,0,0,0
RHONDASTAMPS-HR,Laptop - Windows,0,0,2,0,1,0,0,0
lab1-PC,Workstations - Windows,0,0,1,0,0,0,0,0
NURSESTN3-HCC,Workstations - Windows,0,0,1,0,1,0,0,0
